ArcDirection,X,Y,dy,HV,dHV,I,dI
Normal,2,0.05,0.05,1000,5,0.340,0.001
Normal,4,0.25,0.05,1000,5,0.340,0.001
Normal,6,0.75,0.05,1000,5,0.340,0.001
Normal,8,1.25,0.05,1000,5,0.340,0.001
Normal,10,2,0.05,1000,5,0.340,0.001
Normal,2,0.1,0.05,1500,5,0.420,0.001
Normal,4,0.35,0.05,1500,5,0.420,0.001
Normal,6,0.75,0.05,1500,5,0.420,0.001
Normal,8,1.3,0.05,1500,5,0.420,0.001
Normal,10,2,0.05,1500,5,0.420,0.001
Normal,2,0.1,0.05,2000,5,0.479,0.001
Normal,4,0.35,0.05,2000,5,0.479,0.001
Normal,6,0.7,0.05,2000,5,0.479,0.001
Normal,8,1.25,0.05,2000,5,0.479,0.001
Normal,10,2,0.05,2000,5,0.479,0.001
Normal,2,0.1,0.05,2500,5,0.538,0.001
Normal,4,0.35,0.05,2500,5,0.538,0.001
Normal,6,0.7,0.05,2500,5,0.538,0.001
Normal,8,1.3,0.05,2500,5,0.538,0.001
Normal,10,2,0.05,2500,5,0.538,0.001
Normal,2,0.1,0.05,3000,5,0.588,0.001
Normal,4,0.35,0.05,3000,5,0.588,0.001
Normal,6,0.75,0.05,3000,5,0.588,0.001
Normal,8,1.3,0.05,3000,5,0.588,0.001
Normal,10,2,0.05,3000,5,0.588,0.001
Reversed,2,-0.2,0.05,1000,5,0.340,0.001
Reversed,4,-0.5,0.05,1000,5,0.340,0.001
Reversed,6,-0.95,0.05,1000,5,0.340,0.001
Reversed,8,-1.55,0.05,1000,5,0.340,0.001
Reversed,10,-2.3,0.05,1000,5,0.340,0.001
Reversed,2,-0.25,0.05,1500,5,0.420,0.001
Reversed,4,-0.55,0.05,1500,5,0.420,0.001
Reversed,6,-0.95,0.05,1500,5,0.420,0.001
Reversed,8,-1.55,0.05,1500,5,0.420,0.001
Reversed,10,-2.35,0.05,1500,5,0.420,0.001
Reversed,2,-0.2,0.05,2000,5,0.479,0.001
Reversed,4,-0.5,0.05,2000,5,0.479,0.001
Reversed,6,-0.95,0.05,2000,5,0.479,0.001
Reversed,8,-1.55,0.05,2000,5,0.479,0.001
Reversed,10,-2.3,0.05,2000,5,0.479,0.001
Reversed,2,-0.2,0.05,2500,5,0.538,0.001
Reversed,4,-0.5,0.05,2500,5,0.538,0.001
Reversed,6,-0.95,0.05,2500,5,0.538,0.001
Reversed,8,-1.55,0.05,2500,5,0.538,0.001
Reversed,10,-2.3,0.05,2500,5,0.538,0.001
Reversed,2,-0.2,0.05,3000,5,0.588,0.001
Reversed,4,-0.5,0.05,3000,5,0.588,0.001
Reversed,6,-0.95,0.05,3000,5,0.588,0.001
Reversed,8,-1.5,0.05,3000,5,0.588,0.001
Reversed,10,-2.3,0.05,3000,5,0.588,0.001
